tradingsymbol,datetime,open,high,low,close,volume
NIFTY 50,2024-07-25 13:45:00,24366.0,24426.15,24364.4,24421.35,0
NIFTY 50,2024-07-25 14:15:00,24422.45,24424.65,24380.1,24382.25,0
NIFTY 50,2024-07-25 14:45:00,24383.25,24412.1,24382.15,24397.5,0
NIFTY 50,2024-07-25 15:15:00,24396.5,24423.15,24388.95,24415.0,0
NIFTY 50,2024-07-26 09:15:00,24423.35,24528.95,24410.9,24526.6,0
NIFTY 50,2024-07-26 09:45:00,24526.4,24595.0,24511.45,24578.7,0
NIFTY 50,2024-07-26 10:15:00,24578.45,24610.15,24576.25,24598.95,0
NIFTY 50,2024-07-26 10:45:00,24599.05,24654.45,24590.1,24644.8,0
NIFTY 50,2024-07-26 11:15:00,24643.95,24655.55,24623.6,24635.75,0
NIFTY 50,2024-07-26 11:45:00,24635.6,24656.85,24634.3,24639.0,0
NIFTY 50,2024-07-26 12:15:00,24638.95,24721.5,24637.1,24718.65,0
NIFTY 50,2024-07-26 12:45:00,24718.15,24781.15,24711.35,24775.55,0
NIFTY 50,2024-07-26 13:15:00,24777.1,24814.25,24758.2,24795.55,0
NIFTY 50,2024-07-26 13:45:00,24794.45,24818.25,24758.35,24797.8,0
NIFTY 50,2024-07-26 14:15:00,24797.75,24808.4,24759.45,24801.45,0
NIFTY 50,2024-07-26 14:45:00,24800.25,24853.1,24797.0,24849.05,0
NIFTY 50,2024-07-26 15:15:00,24848.0,24861.15,24830.4,24851.75,0
NIFTY 50,2024-07-29 09:15:00,24943.3,24980.45,24894.05,24914.5,0
NIFTY 50,2024-07-29 09:45:00,24913.85,24935.1,24877.95,24878.35,0
NIFTY 50,2024-07-29 10:15:00,24878.1,24907.6,24866.45,24874.6,0
NIFTY 50,2024-07-29 10:45:00,24874.2,24946.05,24874.1,24938.15,0
NIFTY 50,2024-07-29 11:15:00,24937.85,24999.75,24937.5,24987.85,0
NIFTY 50,2024-07-29 11:45:00,24987.95,24998.25,24880.2,24906.55,0
NIFTY 50,2024-07-29 12:15:00,24905.5,24912.95,24790.45,24873.8,0
NIFTY 50,2024-07-29 12:45:00,24874.55,24892.1,24832.45,24833.05,0
NIFTY 50,2024-07-29 13:15:00,24833.35,24880.75,24825.4,24877.8,0
NIFTY 50,2024-07-29 13:45:00,24878.15,24884.85,24797.6,24798.05,0
NIFTY 50,2024-07-29 14:15:00,24798.0,24849.05,24774.6,24834.25,0
NIFTY 50,2024-07-29 14:45:00,24834.7,24865.85,24796.65,24823.3,0
NIFTY 50,2024-07-29 15:15:00,24823.3,24848.8,24816.6,24840.95,0
NIFTY 50,2024-07-30 09:15:00,24839.4,24885.3,24798.65,24883.25,0
NIFTY 50,2024-07-30 09:45:00,24884.05,24887.45,24816.3,24851.65,0
NIFTY 50,2024-07-30 10:15:00,24851.55,24898.65,24850.4,24898.2,0
NIFTY 50,2024-07-30 10:45:00,24899.95,24940.45,24888.55,24926.7,0
NIFTY 50,2024-07-30 11:15:00,24926.9,24954.1,24926.0,24950.0,0
NIFTY 50,2024-07-30 11:45:00,24950.35,24956.7,24914.85,24936.3,0
NIFTY 50,2024-07-30 12:15:00,24936.0,24961.4,24931.6,24937.9,0
NIFTY 50,2024-07-30 12:45:00,24936.65,24968.85,24921.55,24936.95,0
NIFTY 50,2024-07-30 13:15:00,24936.3,24944.55,24881.0,24917.75,0
NIFTY 50,2024-07-30 13:45:00,24916.5,24937.35,24902.6,24929.15,0
NIFTY 50,2024-07-30 14:15:00,24929.15,24971.75,24927.85,24963.8,0
NIFTY 50,2024-07-30 14:45:00,24962.55,24967.85,24837.7,24847.5,0
NIFTY 50,2024-07-30 15:15:00,24847.45,24861.75,24832.6,24840.9,0
NIFTY 50,2024-07-31 09:15:00,24886.7,24929.1,24856.5,24883.25,0
NIFTY 50,2024-07-31 09:45:00,24883.05,24945.55,24872.9,24940.1,0
NIFTY 50,2024-07-31 10:15:00,24938.6,24954.45,24917.95,24946.3,0
NIFTY 50,2024-07-31 10:45:00,24946.65,24950.0,24901.45,24923.0,0
NIFTY 50,2024-07-31 11:15:00,24922.25,24934.1,24898.25,24927.9,0
NIFTY 50,2024-07-31 11:45:00,24927.95,24939.0,24923.4,24936.3,0
NIFTY 50,2024-07-31 12:15:00,24935.45,24946.35,24918.6,24933.65,0
NIFTY 50,2024-07-31 12:45:00,24932.1,24949.45,24904.1,24937.05,0
NIFTY 50,2024-07-31 13:15:00,24934.9,24952.45,24922.75,24934.5,0
NIFTY 50,2024-07-31 13:45:00,24933.6,24944.1,24918.55,24926.3,0
NIFTY 50,2024-07-31 14:15:00,24925.55,24969.35,24922.65,24950.0,0
NIFTY 50,2024-07-31 14:45:00,24950.35,24957.0,24930.25,24945.8,0
NIFTY 50,2024-07-31 15:15:00,24944.45,24984.6,24941.75,24979.3,0
NIFTY 50,2024-08-01 09:15:00,25030.95,25078.3,25008.8,25045.55,0
NIFTY 50,2024-08-01 09:45:00,25045.8,25059.0,25026.2,25037.05,0
NIFTY 50,2024-08-01 10:15:00,25036.3,25052.15,25011.9,25020.1,0
NIFTY 50,2024-08-01 10:45:00,25020.4,25041.2,25003.6,25033.45,0
NIFTY 50,2024-08-01 11:15:00,25032.85,25033.85,24998.15,24998.45,0
NIFTY 50,2024-08-01 11:45:00,24998.55,25006.9,24983.3,24990.55,0
NIFTY 50,2024-08-01 12:15:00,24992.65,25002.35,24964.35,24983.3,0
NIFTY 50,2024-08-01 12:45:00,24982.9,25008.35,24973.9,25000.1,0
NIFTY 50,2024-08-01 13:15:00,24999.15,25007.15,24973.7,24974.15,0
NIFTY 50,2024-08-01 13:45:00,24974.15,24996.45,24972.15,24981.45,0
NIFTY 50,2024-08-01 14:15:00,24980.7,25005.8,24956.4,25003.6,0
NIFTY 50,2024-08-01 14:45:00,25004.8,25020.9,24973.2,25018.7,0
NIFTY 50,2024-08-01 15:15:00,25018.5,25030.85,24998.4,25006.0,0
